Latitude,Longitude,Safety Score
52.28662,-1.56082,44.039962723685136
52.28663,-1.5496,43.06607667308126
52.28663,-1.53679,29.644337947300347
52.28665,-1.56084,43.7918711206317
52.28668,-1.53731,19.565209475047826
52.28669,-1.56092,43.780185082302836
52.28671,-1.54984,43.06607667308126
52.28673,-1.54981,43.06607667308126
52.2867355,-1.5244127,30.144686293534832
52.28674,-1.52441,30.144686293534832
52.28675,-1.56105,43.33067679076944
52.28676,-1.54975,43.06607667308126
52.28677,-1.53687,27.767261772934614
52.28678,-1.54828,45.61252211738474
52.28679,-1.53738,19.75984675427825
52.28681,-1.56078,43.67175564928625
52.28681,-1.54941,43.08308043028591
52.28683,-1.56127,43.51657778769239
52.28683,-1.56086,43.67175564928625
52.28683,-1.53357,30.694037764414688
52.28686,-1.54923,43.08308043028591
52.28687,-1.53698,29.65623990550901
52.28688,-1.53362,32.799932986882645
52.28688,-1.52646,29.219931043643133
52.28689,-1.53364,28.725505505966613
52.2869,-1.53339,32.48438659233247
52.28691,-1.53702,25.81524579394302
52.28693,-1.54914,43.08308043028591
52.28694,-1.53705,25.30415509455418
52.28694,-1.53704,39.25135611236588
52.28695,-1.53701,34.5953654700506
52.28698,-1.53761,19.881196866068674
52.28698,-1.53696,24.477678857978578
52.28699,-1.53323,33.05066855818422
52.28699,-1.53319,33.05066855818422
52.28702,-1.53692,35.01252791031979
52.28702,-1.53322,33.05066855818422
52.28705,-1.56206,44.909902032989486
52.28706,-1.53687,24.564779833485602
52.28707,-1.52483,29.07116393275525
52.28708,-1.53386,44.633524262438975
52.28709,-1.5489,42.22604723999367
52.2871,-1.53666,43.61643359071075
52.28711,-1.54778,44.565353152048885
52.28712,-1.53681,34.757975299463844
52.28712,-1.53468,44.17703747588698
52.28713,-1.53791,20.26773543831061
52.28713,-1.5351,44.17582452007991
52.28714,-1.54876,42.54821008307266
52.28714,-1.53685,24.604344689453672
52.28714,-1.53329,32.937163174497904
52.28715,-1.53747,43.50224353775337
52.28718,-1.53751,35.69690002630299
52.28718,-1.53541,44.03289608728874
52.28721,-1.56292,44.82277732208629
52.28721,-1.5369,24.606280534337532
52.28724,-1.53689,24.585592419712643
52.28724,-1.53554,44.001561458679134
52.28724,-1.53434,29.03924014490261
52.28725,-1.54856,41.949653382398886
52.28725,-1.53562,44.02293070783378
52.28726,-1.56445,44.83816652340581
52.28726,-1.56413,44.75281250983878
52.28726,-1.56333,44.75281250983878
52.28726,-1.53821,20.260560914150293
52.28726,-1.53566,44.02347998100225
52.28726,-1.5356,44.02293070783378
52.28726,-1.53345,44.620806931635705
52.28727,-1.56382,44.75281250983878
52.28727,-1.53664,26.424327997805864
52.28727,-1.53421,44.645643283816774
52.28728,-1.53574,44.02347998100225
52.28729,-1.5341,37.12550852788335
52.28729,-1.53337,33.08454738965097
52.28731,-1.56472,44.89938756887176
52.28731,-1.53577,44.02347998100225
52.2873121,-1.5357703,44.02347998100225
52.28732,-1.5474,44.38694451159565
52.28735,-1.53417,33.29301437362786
52.28736,-1.53318,38.918941614667254
52.28739,-1.53718,24.280812997584288
52.28741,-1.53865,20.251689596341063
52.28742,-1.56498,36.94137230169619
52.2874242,-1.5356918,43.98200486486596
52.28743,-1.56501,40.77125824542295
52.28743,-1.53793,43.52245592299513
52.28744,-1.56499,36.792250611835165
52.28746,-1.56498,36.94137230169619
52.28748,-1.56509,36.792250611835165
52.28748,-1.53651,26.571006428139807
52.28749,-1.53441,33.01619277604397
52.28749,-1.53436,33.01619277604397
52.2875,-1.53289,38.86357729515047
52.28751,-1.53444,33.071557095560756
52.28752,-1.56476,36.94137230169619
52.28753,-1.56515,44.694901559493964
52.28753,-1.53743,24.531082793501515
52.2875364,-1.541341,31.010507886622616
52.28754,-1.54134,19.474248344637886
52.28754,-1.53444,33.056776240401334
52.28755,-1.53914,20.14096095730751
52.28755,-1.53444,33.056776240401334
52.28757,-1.56476,36.886007982179414
52.28757,-1.5382,43.539228484481555
52.2876,-1.56522,40.71589392590617
52.28761,-1.54672,44.4399601846225
52.28762,-1.53478,29.096237470073476
