Latitude,Longitude,Year,Num Crimes,Num Public Spaces,Crime Score,Crime Severity Score,Public Space Score,Safety Score,Num Public Space,Severity
52.277348,-1.570058,2021,7,,33.10315151218797,,0.0,18.10315151218797,0.0,5.857142857142857
52.277348,-1.562762,2021,6,,45.28678190427292,,0.0,30.28678190427292,0.0,4.333333333333333
52.277348,-1.555381,2021,29,,38.42900730021776,,0.0,23.42900730021776,0.0,5.172413793103448
52.277348,-1.548171,2021,189,,47.16650347106294,,0.3738317757009345,47.54033524676387,8.0,3.907103825136612
52.277348,-1.540875,2021,89,,31.069986750687946,,0.1869158878504672,31.256902638538413,4.0,6.056179775280899
52.277348,-1.533494,2021,433,,30.497999693063967,,0.3271028037383177,30.82510249680228,7.0,5.882629107981221
52.277348,-1.526155,2021,338,,29.74147859994172,,0.1869158878504672,29.928394487792183,4.0,6.054054054054054
52.277348,-1.518688,2021,221,,27.23700943930278,,0.1401869158878504,27.37719635519063,3.0,6.461538461538462
52.277348,-1.511564,2021,159,,28.617205051159345,,0.1401869158878504,28.7573919670472,3.0,6.322784810126582
52.277348,-1.50414,2021,21,,37.578738906139215,,0.0,22.578738906139208,0.0,5.285714285714286
52.277348,-1.497617,2021,21,,37.19915568486508,,0.1869158878504672,37.38607157271554,4.0,5.333333333333333
52.272517,-1.570058,2021,3,,34.64886759084945,,0.0,19.64886759084945,0.0,5.666666666666667
52.272517,-1.562762,2021,4,,45.96850932740031,,0.0,30.968509327400305,0.0,4.25
52.272517,-1.555381,2021,85,,28.01004318893397,,0.0934579439252336,28.1035011328592,2.0,6.447058823529412
52.272517,-1.548171,2021,31,,26.9530124273324,,0.0467289719626168,26.99974139929501,1.0,6.612903225806452
52.272517,-1.540875,2021,29,,29.370741293737865,,0.0,14.37074129373786,0.0,6.310344827586207
52.272517,-1.533494,2021,134,,35.641055376889305,,0.0934579439252336,35.73451332081453,2.0,5.440298507462686
52.272517,-1.526155,2021,155,,30.44314097677096,,0.1869158878504672,30.63005686462144,4.0,6.090909090909091
52.272517,-1.518688,2021,138,,22.86301782281125,,0.0467289719626168,22.909746794773863,1.0,7.072992700729927
52.272517,-1.511564,2021,68,,24.069525123073355,,0.0467289719626168,24.116254095035973,1.0,6.955882352941177
52.272517,-1.50414,2021,3,,0.0,,0.0,-15.0,0.0,10.0
52.272517,-1.497617,2021,7,,18.263807730862325,,0.0934579439252336,18.35726567478756,2.0,7.714285714285714
52.268551,-1.570058,2021,0,,80.0,,0.0,65.0,0.0,0.0
52.268551,-1.562762,2021,0,,80.0,,0.0,65.0,0.0,0.0
52.268551,-1.555381,2021,74,,26.25778131374572,,0.0467289719626168,26.30451028570833,1.0,6.675675675675675
52.268551,-1.548171,2021,47,,28.196882248626288,,0.0,13.196882248626288,0.0,6.446808510638298
52.268551,-1.540875,2021,67,,37.18065499985951,,0.1869158878504672,37.36757088770998,4.0,5.298507462686567
52.268551,-1.533494,2021,42,,34.79569366682151,,0.1869158878504672,34.98260955467199,4.0,5.619047619047619
52.268551,-1.526155,2021,50,,34.31605933490973,,0.1869158878504672,34.502975222760206,4.0,5.673469387755102
52.268551,-1.518688,2021,37,,24.731283397037288,,0.0467289719626168,24.7780123689999,1.0,6.888888888888889
52.268551,-1.511564,2021,0,,80.0,,0.0,65.0,0.0,0.0
52.268551,-1.50414,2021,0,,80.0,,0.0,65.0,0.0,0.0
52.268551,-1.497617,2021,0,,80.0,,0.0,65.0,0.0,0.0
52.295042,-1.570058,2022,121,,30.94410909489814,,0.0,15.944109094898142,0.0,6.049586776859504
52.295042,-1.562762,2022,97,,31.22163437871537,,0.0,16.221634378715365,0.0,6.030927835051546
52.295042,-1.555381,2022,50,,34.896604033787284,,0.0467289719626168,34.9433330057499,1.0,5.6
52.295042,-1.548171,2022,104,,40.05313485504527,,0.0934579439252336,40.1465927989705,2.0,4.901960784313726
52.295042,-1.540875,2022,576,,28.576380405759863,,0.2336448598130841,28.81002526557295,5.0,6.034172661870503
52.295042,-1.533494,2022,720,,28.137912161610437,,1.074766355140187,29.21267851675062,23.0,5.984352773826458
52.295042,-1.526155,2022,185,,26.123242497798607,,0.514018691588785,26.63726118938739,11.0,6.627027027027027
52.295042,-1.518688,2022,0,,80.0,,0.0467289719626168,80.04672897196262,1.0,0.0
52.295042,-1.511564,2022,0,,80.0,,0.0,65.0,0.0,0.0
52.295042,-1.50414,2022,0,,80.0,,0.0,65.0,0.0,0.0
52.295042,-1.497617,2022,0,,80.0,,0.0,65.0,0.0,0.0
52.290777,-1.570058,2022,114,,28.412899167415176,,0.0,13.412899167415176,0.0,6.37719298245614
52.290777,-1.562762,2022,287,,29.72794189635693,,0.0,14.727941896356931,0.0,6.090592334494773
52.290777,-1.555381,2022,103,,34.89856718415689,,0.0934579439252336,34.99202512808212,2.0,5.5588235294117645
52.290777,-1.548171,2022,185,,33.30294776762627,,0.0934579439252336,33.396405711551495,2.0,5.7
52.290777,-1.540875,2022,1057,,26.952068508247265,,1.4018691588785046,28.353937667125773,30.0,5.88035019455253
52.290777,-1.533494,2022,1432,,26.06305703222743,,1.9626168224299063,28.02567385465733,42.0,5.674302075876879
52.290777,-1.526155,2022,200,,28.62261626518095,,0.2803738317757009,28.90299009695666,6.0,6.294416243654823
52.290777,-1.518688,2022,32,,32.960031521658834,,0.1869158878504672,33.146947409509295,4.0,5.857142857142857
52.290777,-1.511564,2022,5,,46.36000689536287,,0.1401869158878504,46.50019381125072,3.0,4.2
52.290777,-1.50414,2022,0,,80.0,,0.0,65.0,0.0,0.0
52.290777,-1.497617,2022,0,,80.0,,0.0,65.0,0.0,0.0
52.286249,-1.570058,2022,130,,38.92172560464715,,0.0,23.92172560464715,0.0,5.023255813953488
52.286249,-1.562762,2022,285,,36.90186945024153,,0.0,21.901869450241527,0.0,5.148936170212766
52.286249,-1.555381,2022,46,,31.93082187112888,,0.0467289719626168,31.97755084309149,1.0,5.976744186046512
52.286249,-1.548171,2022,109,,38.28570870994916,,0.0934579439252336,38.37916665387439,2.0,5.122641509433962
52.286249,-1.540875,2022,326,,32.93218800922417,,0.0934579439252336,33.02564595314941,2.0,5.638364779874214
52.286249,-1.533494,2022,861,,25.97412428685861,,2.336448598130841,28.31057288498945,50.0,6.187350835322196
