Latitude,Longitude,Daytime Score,Evening Score
52.281418,-1.533494,70.6571164213589,50.657116421358886
52.281418,-1.526155,72.89388745079583,52.89388745079582
52.281418,-1.518688,78.94065524209232,58.94065524209232
52.281418,-1.511564,80.91945077054129,60.91945077054129
52.281418,-1.50414,83.81884087213916,63.81884087213916
52.281418,-1.497617,84.93556173470975,64.93556173470975
52.277348,-1.570058,84.69193907239432,64.69193907239432
52.277348,-1.562762,84.49940099264077,64.49940099264077
52.277348,-1.555381,83.3477607237876,63.3477607237876
52.277348,-1.548171,82.71184901708338,62.71184901708338
52.277348,-1.540875,82.31341917484791,62.31341917484791
52.277348,-1.533494,76.76909919406283,56.76909919406283
52.277348,-1.526155,76.2120150568668,56.212015056866804
52.277348,-1.518688,79.13500565945264,59.135005659452645
52.277348,-1.511564,80.11670919359607,60.116709193596066
52.277348,-1.50414,83.45070660502856,63.45070660502856
52.277348,-1.497617,84.83698077925412,64.83698077925412
52.272517,-1.570058,84.910148896115,64.910148896115
52.272517,-1.562762,84.97406935066046,64.97406935066046
52.272517,-1.555381,83.77441489816876,63.77441489816876
52.272517,-1.548171,82.36683390576137,62.36683390576137
52.272517,-1.540875,83.3800910763462,63.380091076346204
52.272517,-1.533494,82.90386928609213,62.90386928609213
52.272517,-1.526155,80.2098896017768,60.209889601776794
52.272517,-1.518688,80.64349775566723,60.64349775566723
52.272517,-1.511564,82.97193222659592,62.971932226595925
52.272517,-1.50414,84.56768637297155,64.56768637297155
52.272517,-1.497617,84.86291142859366,64.86291142859366
52.268551,-1.570058,85.0,65.0
52.268551,-1.562762,85.06392045454545,65.06392045454545
52.268551,-1.555381,84.27475500015558,64.27475500015558
52.268551,-1.548171,83.46635397056306,63.46635397056306
52.268551,-1.540875,84.30505057528045,64.30505057528045
52.268551,-1.533494,84.59487508362764,64.59487508362764
52.268551,-1.526155,83.4198932191589,63.419893219158894
52.268551,-1.518688,83.36111440651595,63.36111440651595
52.268551,-1.511564,84.25551942495294,64.25551942495294
52.268551,-1.50414,84.96149238404928,64.96149238404928
52.268551,-1.497617,84.96149238404928,64.96149238404928
