Latitude,Longitude,Safety Score
52.290777,-1.570058,35.0149581
52.290777,-1.562762,31.31411982
52.290777,-1.555381,43.77444601
52.290777,-1.548171,44.23922591
52.290777,-1.540875,39.87300355
52.290777,-1.533494,36.15124053
52.290777,-1.526155,48.89961242
52.290777,-1.518688,46.78558114
52.290777,-1.511564,33.71122639
52.290777,-1.50414,65
52.290777,-1.497617,65
52.286249,-1.570058,24.28548005
52.286249,-1.562762,24.16777371
52.286249,-1.555381,47.48153372
52.286249,-1.548171,40.30456013
52.286249,-1.540875,42.66549334
52.286249,-1.533494,44.48850945
52.286249,-1.526155,44.24717998
52.286249,-1.518688,43.06582265
52.286249,-1.511564,41.74361022
52.286249,-1.50414,32.96690226
52.286249,-1.497617,65
52.281418,-1.570058,43.06146276
52.281418,-1.562762,33.3011175
52.281418,-1.555381,40.13352766
52.281418,-1.548171,29.30972485
52.281418,-1.540875,42.42845437
52.281418,-1.533494,48.52348903
52.281418,-1.526155,44.58960727
52.281418,-1.518688,47.57265398
52.281418,-1.511564,46.86657758
52.281418,-1.50414,38.32538725
52.281418,-1.497617,34.96552319
52.277348,-1.570058,26.09321053
52.277348,-1.562762,29.51764474
52.277348,-1.555381,33.83026633
52.277348,-1.548171,26.70065843
52.277348,-1.540875,49.9879596
52.277348,-1.533494,51.67518455
52.277348,-1.526155,51.22373259
52.277348,-1.518688,41.74656778
52.277348,-1.511564,41.88161436
52.277348,-1.50414,38.85106016
52.277348,-1.497617,55.63135395
52.272517,-1.570058,28.16276504
52.272517,-1.562762,29.1056613
52.272517,-1.555381,49.92813055
52.272517,-1.548171,47.94144767
52.272517,-1.540875,46.34193612
52.272517,-1.533494,52.13877772
52.272517,-1.526155,58.44544541
52.272517,-1.518688,59.59402188
52.272517,-1.511564,57.12996494
52.272517,-1.50414,39.35311153
52.272517,-1.497617,48.80933452
52.268551,-1.570058,65
52.268551,-1.562762,34.23128196
52.268551,-1.555381,51.41491093
52.268551,-1.548171,44.90224497
52.268551,-1.540875,57.28573693
52.268551,-1.533494,52.23866245
52.268551,-1.526155,56.05072001
52.268551,-1.518688,63.17781814
52.268551,-1.511564,16.99448371
52.268551,-1.50414,65
52.268551,-1.497617,65
52.295042,-1.570058,42.7669791
52.295042,-1.562762,48.45919118
52.295042,-1.555381,49.60713324
52.295042,-1.548171,29.91081178
52.295042,-1.540875,43.95289676
52.295042,-1.533494,41.40072328
52.295042,-1.526155,48.39738977
52.295042,-1.518688,80.04672897
