Location,Place Name,Place Type,Latitude,Longitude
"52.290777,-1.555381",Chopwell Trees,"park, point_of_interest, establishment",52.2923476,-1.5583852
"52.290777,-1.548171",Sealand Fish Bar Ltd,"meal_takeaway, restaurant, food, point_of_interest, establishment",52.2922002,-1.5495071
"52.290777,-1.548171",The Star & Garter,"bar, restaurant, food, point_of_interest, establishment",52.291709,-1.541993
"52.290777,-1.548171",The Fat Pug,"bar, restaurant, food, point_of_interest, establishment",52.2923095,-1.5483376
"52.290777,-1.548171",Coco di Mama - Pasta Kitchen - Leamington Spa,"meal_takeaway, store, restaurant, food, point_of_interest, establishment",52.2901298,-1.541228
"52.290777,-1.548171",The Dell,"park, tourist_attraction, point_of_interest, establishment",52.292454,-1.5424432
"52.290777,-1.548171","Victoria Park, Leamington Spa","park, tourist_attraction, point_of_interest, establishment",52.287191,-1.5437254
"52.290777,-1.540875",Premier Inn Leamington Spa Town Centre hotel,"lodging, restaurant, food, point_of_interest, establishment",52.2885283,-1.5356201
"52.290777,-1.540875",La Coppola Ristorante & Oyster Bar,"restaurant, food, point_of_interest, establishment",52.2931137,-1.5361781
"52.290777,-1.540875",Zizzi - Leamington Spa,"restaurant, store, food, point_of_interest, establishment",52.2900657,-1.5351925
"52.290777,-1.540875",Kayal,"restaurant, food, point_of_interest, establishment",52.2901701,-1.5375318
"52.290777,-1.540875",Regency Fish Ltd,"restaurant, store, food, point_of_interest, establishment",52.2903136,-1.5371485
"52.290777,-1.540875",Nana's Japanese,"restaurant, food, point_of_interest, establishment",52.2903203,-1.5382776
"52.290777,-1.540875",Elma Restaurant,"restaurant, food, point_of_interest, establishment",52.2898484,-1.5380779
"52.290777,-1.540875",Bedford Street Bar,"bar, restaurant, food, point_of_interest, establishment",52.2914123,-1.536887
"52.290777,-1.540875",Birtelli's,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",52.2934598,-1.5375299
"52.290777,-1.540875",Café Royal,"cafe, restaurant, food, point_of_interest, establishment",52.2919053,-1.5352685
"52.290777,-1.540875",wagamama leamington spa,"restaurant, food, point_of_interest, establishment",52.2897389,-1.5351637
"52.290777,-1.540875",Starbucks Coffee,"restaurant, cafe, store, food, point_of_interest, establishment",52.2918175,-1.5349598
"52.290777,-1.540875",Rosie's,"restaurant, cafe, food, point_of_interest, establishment",52.2895808,-1.5350332
"52.290777,-1.540875",Carluccio's,"restaurant, cafe, store, food, point_of_interest, establishment",52.2906914,-1.5347101
"52.290777,-1.540875",Las Iguanas - Leamington Spa,"restaurant, bar, food, point_of_interest, establishment",52.2897196,-1.5348562
"52.290777,-1.540875",Nando's Leamington Spa,"restaurant, meal_delivery, food, point_of_interest, establishment",52.289756,-1.53464
"52.290777,-1.540875",Copper Pot,"bar, restaurant, food, point_of_interest, establishment",52.2920476,-1.537244
