Longitude,Latitude,Safety Score
-1.55438,52.28483,58.28990059958443
-1.55428,52.28486,58.28990059958443
-1.55396,52.28315,55.35077627880983
-1.55395,52.28491,58.28990059958443
-1.55372,52.28958,44.598533332956755
-1.55368,52.28295,55.35077627880983
-1.55357,52.28959,44.598533332956755
-1.55356,52.28494,58.28990059958443
-1.55354,52.28279,55.35077627880983
-1.55349,52.28275,55.35077627880983
-1.55344,52.28958,44.598533332956755
-1.55343,52.28959,44.677232296469704
-1.55341,52.28959,44.677232296469704
-1.55339,52.28959,44.677232296469704
-1.55338,52.28959,44.677232296469704
-1.55337,52.2827,55.35077627880983
-1.55337,52.28959,44.677232296469704
-1.55327,52.2896,44.677232296469704
-1.55306,52.2896,44.677232296469704
-1.5530564,52.28960319999999,49.70519814869226
-1.55296,52.28252,55.35077627880983
-1.55289,52.28499,58.28990059958443
-1.55269,52.28245,55.35077627880983
-1.55258,52.2896,44.465568610119895
-1.55252,52.28244,54.79443504471241
-1.5523,52.28506,58.44918436460086
-1.55215,52.28248,58.8016722534193
-1.55178,52.28517,58.44918436460086
-1.55163,52.28964,44.12501344548079
-1.5515,52.2826,58.7838730123628
-1.55111,52.28264,58.7838730123628
-1.55093,52.28968,44.71773831186179
-1.55088,52.28967,44.45759894724694
-1.55083,52.28261,58.7625529333963
-1.55082,52.28968,44.688013126272004
-1.55079,52.28969,44.688013126272004
-1.55051,52.28535,55.76642655377895
-1.55049,52.28253,57.95529129029533
-1.5504,52.2854,55.76642655377895
-1.55028,52.28248,57.88589680572261
-1.55026,52.28969,45.19958334391314
-1.55023,52.28249,57.88589680572261
-1.55016,52.28252,57.96652760504409
-1.55011,52.28254,58.75813254829196
-1.5501,52.28554,55.76642655377895
-1.5501,52.28972,45.19958334391314
-1.5500951,52.2897243,50.22754919613569
-1.55003,52.28252,58.82500016152101
-1.55001,52.28248,58.86466136117385
-1.55001,52.28251,58.86466136117385
-1.55,52.2824,58.86466136117385
-1.54998,52.28238,58.86466136117385
-1.54992,52.28565,56.5035347311323
-1.54984,52.28671,53.0081892725134
-1.54981,52.28673,53.0081892725134
-1.54975,52.28676,53.0081892725134
-1.5496,52.28663,53.0081892725134
-1.54955,52.28661,53.0081892725134
-1.54954,52.28226,58.86466136117385
-1.54948,52.28589,56.07756421118477
-1.54941,52.28681,53.02917241946714
-1.54932,52.28594,56.098547358138525
-1.54926,52.28974,44.759815262907814
-1.54923,52.28686,53.02917241946714
-1.54919,52.28217,58.99542478367846
-1.54914,52.28693,53.02917241946714
-1.54912,52.28616,56.098547358138525
-1.54906,52.28616,56.098547358138525
-1.54898,52.28613,56.098547358138525
-1.5489,52.28709,51.9715677289446
-1.5488877,52.2833039,67.02288611184333
-1.54876,52.28714,52.369126350724734
-1.54867,52.28621,56.15057941161265
-1.54861,52.28211,60.20792699060626
-1.54861,52.28629,56.15057941161265
-1.54856,52.28725,51.63048940953414
-1.54854,52.28652,56.15057941161265
-1.54848,52.2866,56.15057941161265
-1.54828,52.28678,56.15057941161265
-1.54819,52.29237,51.51871246942926
-1.5481874,52.2923727,51.76598947855496
-1.548171,52.281418,53.982265692822494
-1.548171,52.286249,46.94245459559852
-1.54798,52.2821,60.29606418367376
-1.54787,52.28612,52.600245745946246
-1.54778,52.28711,54.99498393093581
-1.54773,52.28778,51.32174386429576
-1.54772,52.28211,60.29606418367376
-1.54761,52.29191,51.65771531632024
-1.54751,52.28793,51.70544737295918
-1.54749,52.28594,53.60192578846786
-1.54747,52.28214,60.354591154624046
-1.5474,52.28732,54.77482231163055
-1.54736,52.28218,60.354591154624046
-1.54732,52.28579,53.60192578846786
-1.5473,52.28573,53.60192578846786
-1.54728,52.28806,51.70544737295918
-1.5472643,52.2789332,69.67641843547085
-1.54724,52.28459,56.467537140019836
-1.54724,52.28477,56.407134790864355
-1.54724,52.28554,53.60192578846786
-1.54722,52.28527,53.60192578846786
-1.5471869,52.2789466,49.6881935311435
-1.54717,52.28421,56.768783290081046
-1.54715,52.29147,51.60317245052178
-1.54712,52.28406,56.768783290081046
-1.54707,52.28389,56.768783290081046
-1.5470501,52.281384,39.82579084116352
-1.54705,52.28138,37.523759637159976
-1.54696,52.28125,37.523759637159976
-1.54693,52.2812,37.523759637159976
-1.5469286,52.2812049,39.82579084116352
-1.54692,52.28347,56.789149225530224
-1.5469188,52.2834728,50.65039934818747
-1.54688,52.28342,56.789149225530224
-1.54684,52.28829,51.69755100866849
-1.54678,52.28325,56.789149225530224
-1.54675,52.28324,56.789149225530224
-1.54673,52.29117,50.786605530349846
-1.54672,52.28761,54.70360277866026
-1.5467,52.28125,37.523759637159976
-1.54669,52.28321,56.789149225530224
